id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration
id0007896,2,2016-03-18 19:17:55,2016-03-18 19:24:28,4,-73.97370910644531,40.7632064819336,-73.96585845947266,40.75997543334961,N,393
id2032032,1,2016-03-18 18:40:25,2016-03-18 18:52:54,1,-73.95213317871094,40.77313232421875,-73.93890380859375,40.80517959594727,N,749
id1291569,2,2016-03-18 19:21:26,2016-03-18 19:27:30,4,-73.95511627197266,40.78888320922852,-73.95703125,40.77517318725585,N,364
id0344359,1,2016-03-18 19:17:58,2016-03-18 19:24:30,1,-73.9737319946289,40.75483703613281,-73.98259735107422,40.74234390258789,N,392
id3607497,2,2016-03-18 19:39:54,2016-03-18 19:52:38,5,-73.9905014038086,40.75777816772461,-73.9903793334961,40.73286819458008,N,764
id2275516,1,2016-03-18 18:53:36,2016-03-18 19:00:52,1,-73.99049377441406,40.74613952636719,-74.0004653930664,40.74449920654297,N,436
id2862322,2,2016-03-18 19:40:07,2016-03-18 19:58:34,1,-73.9795913696289,40.74375534057617,-73.98412322998048,40.72147750854492,N,1107
id0482135,2,2016-03-18 18:52:14,2016-03-18 18:56:16,1,-73.94937133789062,40.77096176147461,-73.9569091796875,40.774879455566406,N,242
id2494758,1,2016-03-18 18:00:29,2016-03-18 18:10:05,1,-73.97076416015625,40.75152587890625,-73.98037719726562,40.73525619506836,N,576
id0800169,2,2016-03-18 18:19:27,2016-03-18 18:23:06,1,-74.00051879882812,40.7424201965332,-73.99198150634766,40.74330139160156,N,219
id2613430,2,2016-03-18 18:36:42,2016-03-18 18:53:55,1,-73.96685791015625,40.75870132446289,-73.99266052246094,40.74129104614258,N,1033
id0324155,1,2016-03-18 19:38:31,2016-03-18 19:44:47,1,-73.99616241455078,40.75350570678711,-74.00604248046875,40.73938369750977,N,376
id1577735,2,2016-03-18 19:23:27,2016-03-18 19:39:36,2,-73.98367309570312,40.743499755859375,-73.950439453125,40.77957153320313,N,969
id0237251,2,2016-03-18 19:11:48,2016-03-18 19:32:37,1,-73.98606872558594,40.71799850463867,-73.94338989257811,40.741371154785156,N,1249
id0215354,1,2016-03-18 19:31:50,2016-03-18 19:45:08,1,-73.97316741943358,40.74441909790039,-73.95770263671875,40.7812728881836,N,798
id2630378,1,2016-03-18 18:50:22,2016-03-18 18:54:30,1,-73.9721145629883,40.78659439086913,-73.97974395751955,40.77873992919922,N,248
id0623129,2,2016-03-18 19:29:27,2016-03-18 19:45:51,1,-73.97313690185547,40.754432678222656,-73.97864532470702,40.72967529296875,N,984
id2507175,2,2016-03-18 18:01:10,2016-03-18 18:07:38,2,-74.00811004638672,40.72962951660156,-73.994873046875,40.75019073486328,N,388
id3841392,2,2016-03-18 19:37:06,2016-03-18 19:46:09,1,-73.99578857421875,40.690589904785156,-73.9766616821289,40.6870002746582,N,543
id0998788,1,2016-03-18 19:16:45,2016-03-18 20:16:16,2,-73.7816390991211,40.64479064941406,-73.99650573730467,40.73198318481445,N,3571
id3950448,1,2016-03-18 18:20:50,2016-03-18 18:25:31,1,-73.98439788818358,40.74551010131836,-73.9866943359375,40.73786544799805,N,281
id0322612,1,2016-03-18 19:35:47,2016-03-18 19:46:07,1,-73.97278594970702,40.74466323852539,-73.98253631591797,40.72312545776367,N,620
id0143547,1,2016-03-18 19:01:36,2016-03-18 19:09:07,1,-74.0079345703125,40.72400665283203,-73.9947738647461,40.75023651123047,N,451
id1354271,1,2016-03-18 19:52:23,2016-03-18 20:20:55,1,-73.86363220214845,40.77022171020508,-73.98052978515625,40.789466857910156,N,1712
id1108011,1,2016-03-18 19:17:38,2016-03-18 19:37:32,1,-73.98528289794923,40.74725341796875,-73.86504364013672,40.77047348022461,N,1194
id3548758,1,2016-03-18 19:13:01,2016-03-18 19:26:11,2,-74.0076904296875,40.74093627929688,-73.98700714111328,40.75930404663085,N,790
id2725041,2,2016-03-18 19:30:35,2016-03-18 19:52:07,2,-73.98883819580078,40.77437210083008,-73.98634338378906,40.74042510986328,N,1292
id0018234,1,2016-03-18 18:27:56,2016-03-18 18:32:57,1,-73.9673843383789,40.80294418334961,-73.96027374267578,40.81324005126953,N,301
id0583475,2,2016-03-18 19:24:44,2016-03-18 19:42:53,1,-73.9722671508789,40.753578186035156,-73.98239135742188,40.77257919311523,N,1089
id3028653,1,2016-03-18 19:09:16,2016-03-18 19:26:53,1,-74.01001739501955,40.72007369995117,-73.98722076416014,40.73004531860352,N,1057
id2686112,1,2016-03-18 19:06:15,2016-03-18 19:10:01,1,-73.97126770019531,40.763954162597656,-73.96210479736328,40.7677116394043,N,226
id0573352,1,2016-03-18 18:46:42,2016-03-18 18:54:07,1,-73.96112823486328,40.78029251098633,-73.969970703125,40.76805877685547,N,445
id1411194,1,2016-03-18 19:50:47,2016-03-18 19:57:10,1,-73.97315216064453,40.75835418701172,-73.95845794677734,40.77256774902344,N,383
id1530309,1,2016-03-18 19:17:20,2016-03-18 20:00:36,3,-73.78986358642578,40.64685821533203,-73.95384216308594,40.80464553833008,N,2596
id1811565,2,2016-03-18 18:32:28,2016-03-18 18:47:27,1,-73.97105407714845,40.755531311035156,-73.96968078613281,40.78494644165039,N,899
id1803801,1,2016-03-18 18:11:10,2016-03-18 18:37:58,1,-73.99221801757811,40.76896286010742,-73.91194915771484,40.886009216308594,N,1608
id2570555,2,2016-03-18 18:54:22,2016-03-18 19:08:05,3,-73.9543685913086,40.76396942138672,-73.94481658935547,40.78823471069336,N,823
id3426686,2,2016-03-18 19:35:39,2016-03-18 19:39:47,1,-73.97061920166014,40.76734161376953,-73.96244812011719,40.76351165771485,N,248
id0875133,2,2016-03-18 19:24:33,2016-03-18 19:49:15,5,-73.96853637695312,40.7618522644043,-73.97791290283203,40.726051330566406,N,1482
id3536520,1,2016-03-18 19:32:48,2016-03-18 20:08:46,1,-73.97774505615234,40.7563591003418,-73.98649597167969,40.669258117675774,N,2158
id1262756,2,2016-03-18 19:11:46,2016-03-18 19:32:03,2,-73.96096801757811,40.7783203125,-73.98628997802734,40.73064041137695,N,1217
id2285651,2,2016-03-18 18:00:56,2016-03-18 18:20:30,1,-73.97022247314453,40.75830078125,-73.98404693603516,40.76485061645508,N,1174
id0260238,1,2016-03-18 19:29:32,2016-03-18 19:43:54,3,-73.98826599121094,40.75420379638672,-73.98827362060547,40.73151397705078,N,862
id0599247,2,2016-03-18 18:08:06,2016-03-18 18:16:55,2,-73.98190307617188,40.7686767578125,-73.96216583251955,40.7676887512207,N,529
id1660986,1,2016-03-18 19:40:30,2016-03-18 19:48:54,2,-74.00288391113281,40.76044845581055,-73.99332427978516,40.75200653076172,N,504
id3657829,2,2016-03-18 19:18:09,2016-03-18 19:30:13,1,-74.00215148925781,40.72956085205078,-73.98956298828125,40.72085571289063,N,724
id3999963,2,2016-03-18 19:02:26,2016-03-18 19:14:57,1,-73.97319030761719,40.76411056518555,-73.98137664794923,40.7805290222168,N,751
id0740577,2,2016-03-18 19:55:47,2016-03-18 20:18:20,5,-73.99214935302734,40.73794174194336,-73.95172119140625,40.77349090576172,N,1353
id2434322,2,2016-03-18 18:04:51,2016-03-18 18:22:03,1,-73.97315216064453,40.754558563232415,-73.98734283447266,40.72532272338867,N,1032
id1286606,2,2016-03-18 18:25:37,2016-03-18 18:36:51,5,-73.99456024169923,40.7205467224121,-73.98665618896483,40.73413848876953,N,674
id1729897,2,2016-03-18 18:24:06,2016-03-18 18:43:53,5,-73.98306274414062,40.76094055175781,-73.98282623291014,40.74208068847656,N,1187
id0189791,2,2016-03-18 18:40:13,2016-03-18 19:00:55,1,-73.97195434570312,40.75689697265625,-74.00365447998048,40.73223876953125,N,1242
id2093320,2,2016-03-18 18:30:30,2016-03-18 18:35:51,1,-73.99224090576173,40.75481033325195,-73.98056030273438,40.748291015625,N,321
id2360723,2,2016-03-18 19:26:21,2016-03-18 19:47:12,1,-73.9509506225586,40.77920150756836,-73.9925079345703,40.74272918701172,N,1251
id1173787,2,2016-03-18 18:59:53,2016-03-18 19:27:53,5,-73.99808502197266,40.74076843261719,-73.94282531738281,40.70123672485352,N,1680
id2409505,2,2016-03-18 18:04:19,2016-03-18 18:08:34,1,-73.9754180908203,40.78794860839844,-73.96566772460938,40.790199279785156,N,255
id0050721,2,2016-03-18 19:36:36,2016-03-18 19:55:35,2,-73.99022674560547,40.75126647949219,-73.96176147460938,40.76197052001953,N,1139
id2052657,1,2016-03-18 19:25:56,2016-03-18 19:45:46,2,-73.97393035888672,40.7629280090332,-73.98384094238281,40.75700378417969,N,1190
id0419510,1,2016-03-18 18:22:43,2016-03-18 18:29:14,1,-73.95954132080078,40.77079391479492,-73.96979522705078,40.7646369934082,N,391
id2039356,1,2016-03-18 19:19:40,2016-03-18 19:24:23,2,-73.95885467529298,40.76758575439453,-73.96131896972656,40.766761779785156,N,283
id1535969,2,2016-03-18 18:26:18,2016-03-18 18:42:34,1,-73.98860931396483,40.748291015625,-73.98268127441406,40.7619514465332,N,976
id2742308,2,2016-03-18 19:06:37,2016-03-18 19:25:30,1,-73.99580383300781,40.73789596557617,-73.97077941894531,40.755821228027344,N,1133
id3559655,2,2016-03-18 19:27:58,2016-03-18 19:38:41,1,-73.99105834960938,40.75143814086913,-73.97408294677734,40.74296188354492,N,643
id3002451,2,2016-03-18 19:25:25,2016-03-18 19:56:34,1,-74.00959014892578,40.71073532104492,-73.94322967529298,40.826038360595696,N,1869
id3127878,2,2016-03-18 18:34:15,2016-03-18 18:42:08,1,-74.00212097167969,40.715240478515625,-73.98915100097656,40.72772979736328,N,473
id2204936,1,2016-03-18 18:15:15,2016-03-18 18:25:25,1,-73.98094940185547,40.75852584838867,-73.97777557373048,40.774452209472656,N,610
id2547697,2,2016-03-18 19:57:18,2016-03-18 20:08:26,4,-73.94915771484375,40.828479766845696,-73.94291687011719,40.810882568359375,N,668
id3251647,1,2016-03-18 19:53:39,2016-03-18 20:07:59,1,-73.98506164550781,40.72820281982422,-73.99459838867188,40.72160339355469,N,860
id2253416,2,2016-03-18 19:48:03,2016-03-18 19:53:31,1,-74.00005340576173,40.73479080200195,-73.98990631103516,40.73488998413085,N,328
id3720294,1,2016-03-18 18:38:20,2016-03-18 18:48:37,1,-73.95149993896483,40.77001953125,-73.9680404663086,40.76236343383789,N,617
id1323533,1,2016-03-18 18:24:05,2016-03-18 18:32:26,1,-73.98884582519531,40.77429962158203,-73.97442626953125,40.79357147216797,N,501
id2053381,1,2016-03-18 19:26:51,2016-03-18 19:46:14,1,-73.99851989746094,40.735008239746094,-73.9883804321289,40.75893783569336,N,1163
id3635185,1,2016-03-18 19:33:09,2016-03-18 19:40:28,2,-73.9496536254883,40.77657699584961,-73.93885040283203,40.804969787597656,N,439
id3928353,1,2016-03-18 19:26:27,2016-03-18 19:39:01,1,-73.98538970947266,40.73971176147461,-73.99758911132812,40.75657272338867,N,754
id2722478,1,2016-03-18 18:48:23,2016-03-18 19:00:33,1,-73.99132537841797,40.68940353393555,-73.98651123046875,40.66761016845703,N,730
id1338949,2,2016-03-18 19:20:48,2016-03-18 19:34:50,1,-73.98023223876955,40.745849609375,-74.00428009033203,40.74256896972656,N,842
id3448830,2,2016-03-18 18:13:51,2016-03-18 18:16:20,1,-73.9447250366211,40.77935028076172,-73.9504623413086,40.77310180664063,N,149
id1463822,1,2016-03-18 19:37:10,2016-03-18 19:57:02,1,-73.9763946533203,40.74383163452149,-73.9864730834961,40.72185516357422,N,1192
id0191480,2,2016-03-18 18:11:56,2016-03-18 18:18:27,1,-73.95403289794923,40.765968322753906,-73.96617889404298,40.76800155639648,N,391
id0083661,2,2016-03-18 18:32:28,2016-03-18 18:55:23,1,-73.9693603515625,40.75722885131836,-73.9879379272461,40.77132034301758,N,1375
id1486714,1,2016-03-18 18:55:16,2016-03-18 19:23:59,2,-73.78199768066406,40.644695281982415,-73.85696411132812,40.570964813232415,N,1723
id0242566,1,2016-03-18 19:56:58,2016-03-18 20:03:07,1,-73.98462677001955,40.75432205200195,-73.97469329833984,40.7541618347168,N,369
id1261896,1,2016-03-18 19:16:25,2016-03-18 19:26:44,1,-73.98219299316406,40.74306869506836,-73.96796417236328,40.75717544555664,N,619
id0868047,2,2016-03-18 19:35:05,2016-03-18 20:18:23,1,-73.97860717773438,40.68372344970703,-73.99124908447266,40.74507522583008,N,2598
id1168964,1,2016-03-18 18:12:28,2016-03-18 18:22:36,2,-73.99323272705078,40.73326873779297,-73.99154663085938,40.748966217041016,N,608
id2635518,1,2016-03-18 19:35:17,2016-03-18 19:39:43,2,-73.9749755859375,40.78753662109375,-73.97930145263672,40.77684783935547,N,266
id2587604,2,2016-03-18 18:43:07,2016-03-18 18:48:01,2,-73.99597930908203,40.7541389465332,-73.99610137939453,40.73878860473633,N,294
id2540003,2,2016-03-18 18:54:44,2016-03-18 19:10:45,1,-73.9816665649414,40.76802062988281,-73.98677825927734,40.76136016845703,N,961
id1681833,1,2016-03-18 19:58:21,2016-03-18 20:08:49,1,-73.96793365478516,40.75988006591797,-73.98298645019531,40.771827697753906,N,628
id2086938,1,2016-03-18 18:39:51,2016-03-18 18:59:26,1,-73.97180938720702,40.75956726074219,-73.9882583618164,40.7373046875,N,1175
id2870849,1,2016-03-18 19:51:51,2016-03-18 20:06:09,1,-73.98560333251955,40.74470520019531,-74.00794219970702,40.73819351196289,N,858
id1636541,2,2016-03-18 18:07:17,2016-03-18 18:11:03,1,-74.00875854492188,40.7317008972168,-74.00807189941406,40.737468719482415,N,226
id2323170,1,2016-03-18 18:56:15,2016-03-18 18:58:16,1,-73.98957061767578,40.74744033813477,-73.9917984008789,40.74871444702149,N,121
id0088135,2,2016-03-18 18:12:55,2016-03-18 18:47:11,1,-73.96515655517578,40.80598831176758,-73.992919921875,40.74876022338867,N,2056
id1032724,1,2016-03-18 18:23:11,2016-03-18 18:35:18,1,-73.96192932128906,40.77058410644531,-73.971435546875,40.75259780883789,N,727
id2839163,1,2016-03-18 19:30:07,2016-03-18 19:43:40,1,-74.0136489868164,40.70978927612305,-73.99696350097656,40.732521057128906,N,813
id3016553,1,2016-03-18 18:52:35,2016-03-18 19:01:34,1,-73.9852294921875,40.74760055541992,-74.00209045410156,40.75192642211913,N,539
id1104085,1,2016-03-18 18:24:46,2016-03-18 18:33:29,1,-73.9900131225586,40.68729019165039,-73.9840316772461,40.680335998535156,N,523
id3350849,1,2016-03-18 18:01:07,2016-03-18 18:22:32,2,-73.96861267089844,40.76137924194336,-73.98242950439453,40.73128509521485,N,1285
id1584186,2,2016-03-18 19:42:53,2016-03-18 19:55:38,6,-73.9828872680664,40.76365280151367,-73.99024200439453,40.75156021118164,N,765
id2033229,1,2016-03-18 19:48:18,2016-03-18 20:02:04,1,-73.97071838378906,40.751808166503906,-73.99361419677734,40.745750427246094,N,826
id3944753,1,2016-03-18 19:13:03,2016-03-18 19:29:20,1,-73.95858001708984,40.80007553100585,-73.97433471679686,40.788589477539055,N,977
id1965206,2,2016-03-18 18:42:57,2016-03-18 19:19:10,3,-73.79023742675781,40.64406204223633,-73.95767974853516,40.57708358764648,N,2173
id3789250,2,2016-03-18 19:47:08,2016-03-18 20:00:01,1,-73.99211883544923,40.73809051513672,-74.01078033447266,40.72359085083008,N,773
id2961121,2,2016-03-18 18:25:54,2016-03-18 18:27:50,1,-73.9688491821289,40.76667022705078,-73.96330261230467,40.76911163330078,N,116
id2423076,2,2016-03-18 18:05:16,2016-03-18 18:26:35,1,-73.98191833496094,40.74600601196289,-73.95354461669923,40.778568267822266,N,1279
id0420144,2,2016-03-18 19:49:10,2016-03-18 19:58:00,5,-73.9625473022461,40.77016067504883,-73.97030639648438,40.76396560668945,N,530
id3186697,2,2016-03-18 18:32:46,2016-03-18 19:26:59,1,-73.78800201416014,40.6414909362793,-73.98204803466798,40.73944091796875,N,3253
id3842599,2,2016-03-18 19:56:17,2016-03-18 20:01:41,2,-73.98082733154298,40.76456832885742,-73.98301696777342,40.76660919189453,N,324
id0465388,2,2016-03-18 18:32:21,2016-03-18 18:48:42,2,-73.98204040527344,40.765323638916016,-73.98603057861328,40.756797790527344,N,981
id2705886,1,2016-03-18 18:46:27,2016-03-18 19:00:54,1,-73.97915649414062,40.75244522094727,-73.99984741210938,40.73866271972656,N,867
id1873281,2,2016-03-18 19:21:30,2016-03-18 19:29:38,1,-73.95337677001955,40.77933120727539,-73.96235656738281,40.76348114013672,N,488
id2429111,1,2016-03-18 19:59:17,2016-03-18 20:16:48,1,-74.00992584228516,40.705039978027344,-73.95238494873048,40.771183013916016,N,1051
id0980240,1,2016-03-18 18:35:54,2016-03-18 18:40:29,1,-73.9675521850586,40.75658798217773,-73.97378540039062,40.74781799316406,N,275
id1837883,2,2016-03-18 19:11:05,2016-03-18 19:15:11,1,-73.96299743652342,40.76921081542969,-73.96739196777344,40.76911926269531,N,246
id3284425,1,2016-03-18 19:52:49,2016-03-18 20:03:55,2,-74.00121307373048,40.73130798339844,-74.00540161132812,40.7459373474121,N,666
id1771429,2,2016-03-18 18:04:16,2016-03-18 18:08:32,2,-73.97840881347656,40.75687026977539,-73.9826889038086,40.7509994506836,N,256
id1952560,2,2016-03-18 19:11:03,2016-03-18 19:18:38,1,-73.97869110107422,40.74092864990234,-73.9929962158203,40.74292755126953,N,455
id1097439,2,2016-03-18 18:59:11,2016-03-18 19:05:02,1,-73.98579406738281,40.7456283569336,-73.97903442382812,40.74058151245117,N,351
id0317234,1,2016-03-18 18:26:02,2016-03-18 18:36:42,2,-73.988037109375,40.7485580444336,-74.00511169433594,40.741065979003906,N,640
id3263489,1,2016-03-18 19:14:07,2016-03-18 19:35:57,1,-73.96372985839844,40.77422332763672,-73.95309448242188,40.77673721313477,N,1310
id1513329,2,2016-03-18 18:27:20,2016-03-18 18:38:44,4,-73.96772766113281,40.76573181152344,-73.94766235351562,40.77513122558594,N,684
id0845093,1,2016-03-18 19:59:44,2016-03-18 20:08:43,1,-73.99214935302734,40.73803329467773,-73.9851303100586,40.72746276855469,N,539
id2190219,1,2016-03-18 19:11:37,2016-03-18 19:15:52,1,-73.98731994628906,40.73310089111328,-73.978759765625,40.72967147827149,N,255
id0912836,2,2016-03-18 19:54:28,2016-03-18 20:02:54,3,-73.97628021240234,40.74382400512695,-73.99054718017578,40.734657287597656,N,506
id1252433,1,2016-03-18 19:27:07,2016-03-18 19:44:01,1,-73.98732757568358,40.74812316894531,-73.87216186523438,40.72870635986328,N,1014
id2068430,2,2016-03-18 19:56:35,2016-03-18 20:04:32,6,-73.98579406738281,40.75794219970703,-73.97043609619139,40.76192092895508,N,477
id1895543,1,2016-03-18 19:00:49,2016-03-18 19:16:07,1,-73.9887466430664,40.748046875,-73.95935821533203,40.76301574707031,N,918
id2011108,1,2016-03-18 18:50:00,2016-03-18 18:58:59,1,-73.98222351074219,40.77687454223633,-73.97794342041014,40.764156341552734,N,539
id1571700,2,2016-03-18 18:23:42,2016-03-18 18:34:01,2,-74.0018310546875,40.721439361572266,-73.98751831054686,40.71971893310547,N,619
id1055354,1,2016-03-18 18:11:07,2016-03-18 18:32:33,1,-74.01319122314453,40.70243453979492,-74.0016098022461,40.74919891357422,N,1286
id1288423,1,2016-03-18 18:07:20,2016-03-18 18:18:47,1,-73.97838592529298,40.777996063232415,-73.95004272460938,40.78445434570313,N,687
id3758134,2,2016-03-18 19:16:00,2016-03-18 19:39:56,1,-73.9927749633789,40.751258850097656,-73.95294189453125,40.76657104492188,N,1436
id3977839,1,2016-03-18 18:52:55,2016-03-18 19:00:40,1,-73.9877395629883,40.73239517211913,-73.97505950927734,40.75155258178711,N,465
id1666687,1,2016-03-18 19:59:37,2016-03-18 20:09:00,2,-73.97576141357422,40.7582893371582,-73.95289611816406,40.775962829589844,N,563
id2710874,1,2016-03-18 18:49:19,2016-03-18 18:52:31,2,-73.98830413818358,40.72316360473633,-73.98411560058595,40.72926330566406,N,192
id2051177,1,2016-03-18 19:40:23,2016-03-18 19:55:06,1,-73.98440551757811,40.743160247802734,-73.99394226074219,40.70985794067383,N,883
id2545348,2,2016-03-18 18:56:17,2016-03-18 19:00:01,1,-73.96317291259766,40.77768325805664,-73.9527359008789,40.78501892089844,N,224
id1057910,1,2016-03-18 18:24:49,2016-03-18 18:30:19,1,-73.96268463134766,40.76648330688477,-73.94768524169923,40.77634048461913,N,330
id1358722,1,2016-03-18 19:24:02,2016-03-18 19:33:00,1,-73.94795989990234,40.77609252929688,-73.9744873046875,40.78318786621094,N,538
id3472267,2,2016-03-18 19:20:54,2016-03-18 19:50:41,1,-73.87453460693358,40.774085998535156,-74.00642395019531,40.70834732055664,N,1787
id0652956,2,2016-03-18 19:31:53,2016-03-18 19:41:44,1,-73.99415588378906,40.75113296508789,-73.98780822753906,40.75978469848633,N,591
id1258913,1,2016-03-18 18:46:07,2016-03-18 18:48:57,1,-73.97975158691406,40.7302360534668,-73.98828887939453,40.72786712646485,N,170
id1097645,2,2016-03-18 19:57:40,2016-03-18 20:09:52,2,-73.98580932617188,40.726806640625,-74.00238037109375,40.74221420288085,N,732
id2966438,1,2016-03-18 19:56:24,2016-03-18 20:06:23,1,-73.97171020507811,40.75849533081055,-73.97023010253906,40.75712585449219,N,599
id3357666,1,2016-03-18 19:15:47,2016-03-18 19:34:53,2,-73.97077941894531,40.75577926635742,-73.9844741821289,40.75910949707031,N,1146
id3308032,2,2016-03-18 18:25:48,2016-03-18 18:31:59,1,-73.94801330566406,40.77463912963867,-73.9623794555664,40.763050079345696,N,371
id2992806,2,2016-03-18 19:18:55,2016-03-18 19:55:31,1,-73.98477172851562,40.759101867675774,-73.92803192138672,40.82392501831055,N,2196
id1966826,2,2016-03-18 18:10:10,2016-03-18 18:12:45,3,-73.95413970947266,40.7816276550293,-73.9527816772461,40.78602600097656,N,155
id0807586,2,2016-03-18 18:10:40,2016-03-18 18:20:44,5,-73.917236328125,40.74317169189453,-73.93943786621094,40.75048065185547,N,604
id3035600,1,2016-03-18 18:13:43,2016-03-18 18:21:55,1,-73.97241973876955,40.75872421264648,-73.95484924316406,40.76755142211913,N,492
id1492402,1,2016-03-18 19:22:15,2016-03-18 19:29:11,2,-73.97594451904298,40.733264923095696,-73.98030853271484,40.74281692504883,N,416
id3030945,1,2016-03-18 18:36:02,2016-03-18 18:40:58,1,-73.97388458251955,40.75442123413085,-73.97703552246094,40.746971130371094,N,296
id0840986,1,2016-03-18 19:10:35,2016-03-18 19:17:19,1,-73.9805145263672,40.75986099243164,-73.9698257446289,40.765869140625,N,404
id0457001,1,2016-03-18 19:17:12,2016-03-18 19:38:23,1,-73.97866821289062,40.75652313232422,-73.98399353027342,40.72226333618164,N,1271
id1132835,2,2016-03-18 18:17:52,2016-03-18 18:37:08,1,-73.98812103271484,40.73771667480469,-73.9574203491211,40.7752685546875,N,1156
id3365489,2,2016-03-18 18:50:04,2016-03-18 19:40:16,6,-74.00770568847656,40.70727157592773,-73.95813751220702,40.64665222167969,N,3012
id3784499,2,2016-03-18 18:44:01,2016-03-18 18:57:27,1,-73.96870422363281,40.75788879394531,-73.98084259033203,40.7796630859375,N,806
